Company,URL,LinkedIn URL,Employees,Location
Rackspace Technology,http://www.rackspace.com/,http://www.linkedin.com/company/rackspace-technology,"5,100","San Antonio, Texas"
Rackspace Technology,http://www.rackspace.com/,http://www.linkedin.com/company/rackspace-technology,"5,100","San Antonio, Texas"
Swiggy,http://www.swiggy.com/,http://www.linkedin.com/company/swiggy-in,"5,500","Bengaluru, India"
Xebia,http://www.xebia.com/,http://www.linkedin.com/company/xebia,"5,500","Atlanta, Georgia"
Databricks,http://www.databricks.com/,http://www.linkedin.com/company/databricks,"11,000","San Francisco, California"
Tiger Analytics,http://www.tigeranalytics.com/,http://www.linkedin.com/company/tiger-analytics,"5,300",
IDC,http://www.idc.com/,http://www.linkedin.com/company/idc,"1,300","Needham, Massachusetts"
Splunk,http://www.splunk.com/,http://www.linkedin.com/company/splunk,"7,700","San Francisco, California"
Informatica,http://www.informatica.com/,http://www.linkedin.com/company/informatica,"5,200","Redwood City, California"
Brillio,http://www.brillio.com/,http://www.linkedin.com/company/brillio,"6,000","Coppell, Texas"
Zensar Technologies,http://www.zensar.com/,http://www.linkedin.com/company/zensar,"9,700","Pune, India"
Cybage Software,http://www.cybage.com/,http://www.linkedin.com/company/cybage,"9,300","Pune, India"
YASH Technologies,http://www.yash.com/,http://www.linkedin.com/company/yash-technologies,"7,000","East Moline, Illinois"
Rackspace Technology,http://www.rackspace.com/,http://www.linkedin.com/company/rackspace-technology,"5,100","San Antonio, Texas"
HCLSoftware,http://www.hcl-software.com/,http://www.linkedin.com/company/hclsoftware,"6,000","Noida, India"
Blue Yonder,http://www.blueyonder.com/,http://www.linkedin.com/company/blueyonder,"8,400","Scottsdale, Arizona"
Encora Inc.,http://www.encora.com/,http://www.linkedin.com/company/encorainc,"10,000","Santa Clara, California"
Perficient,http://www.perficient.com/,http://www.linkedin.com/company/perficient,"6,600","St. Louis, Missouri"
NiCE,http://www.nice.com/,http://www.linkedin.com/company/nice-systems,"8,800","Hoboken, New Jersey"
Marvell Technology,http://www.marvell.com/,http://www.linkedin.com/company/marvell,"7,100","Santa Clara, California"
Teradata,http://www.teradata.com/,http://www.linkedin.com/company/teradata,"5,700","San Diego, California"
Brillio,http://www.brillio.com/,http://www.linkedin.com/company/brillio,"6,000","Coppell, Texas"
Qualtrics,http://www.qualtrics.com/,http://www.linkedin.com/company/qualtrics,"5,600","Provo, Utah"
MongoDB,http://www.mongodb.com/,http://www.linkedin.com/company/mongodbinc,"5,600","New York, New York"
Tata Communications,http://www.tatacommunications.com/,http://www.linkedin.com/company/tata-communication,"7,200","Mumbai, India"
YASH Technologies,http://www.yash.com/,http://www.linkedin.com/company/yash-technologies,"7,000","East Moline, Illinois"
F5,http://www.f5.com/,http://www.linkedin.com/company/f5,N/A,
Citrix,http://www.citrix.com/,http://www.linkedin.com/company/citrix,N/A,"Fort Lauderdale, Florida"
OpenAI,http://www.openai.com/,http://www.linkedin.com/company/openai,N/A,"San Francisco, California"
Twilio,http://www.twilio.com/,http://www.linkedin.com/company/twilio-inc-,"5,600","San Francisco, California"
MathWorks,http://www.mathworks.com/,http://www.linkedin.com/company/the-mathworks_2,"6,500","Natick, Massachusetts"
Esri,http://www.esri.com/,http://www.linkedin.com/company/esri,"6,000","Redlands, California"
Datadog,http://www.datadoghq.com/,http://www.linkedin.com/company/datadog,"8,100","New York, New York"
Zscaler,http://www.zscaler.com/,http://www.linkedin.com/company/zscaler,"7,400","San Jose, California"
Pure Storage,http://www.purestorage.com/,http://www.linkedin.com/company/purestorage,"6,000","Santa Clara, California"
BMC Software,http://www.bmc.com/,http://www.linkedin.com/company/bmc-software,"6,400","Houston, Texas"
Teradata,http://www.teradata.com/,http://www.linkedin.com/company/teradata,"5,700","San Diego, California"
Encora Inc.,http://www.encora.com/,http://www.linkedin.com/company/encorainc,"10,000","Santa Clara, California"
Fractal,http://www.fractal.ai/,http://www.linkedin.com/company/fractal-analytics,"5,800","New York, New York"
Zoom,http://www.zoom.com/,http://www.linkedin.com/company/zoom,"7,500","San Jose, California"
Own Company,http://www.owndata.com/,http://www.linkedin.com/company/owndata,"8,600","Englewood Cliffs, New Jersey"
Infogain,http://www.infogain.com/,http://www.linkedin.com/company/infogain,"6,000","Los Gatos, California"
Zebra Technologies,http://www.zebra.com/,http://www.linkedin.com/company/zebra-technologies,"9,900","Lincolnshire, Illinois"
CitiusTech,http://www.citiustech.com/,http://www.linkedin.com/company/citiustech,"6,600","Princeton, New Jersey"
Dynatrace,http://www.dynatrace.com/,http://www.linkedin.com/company/dynatrace,"4,700","Boston, Massachusetts"
Genesys,http://www.genesys.com/,http://www.linkedin.com/company/genesys,"8,200","Menlo Park, California"
Orion Innovation,http://www.orioninc.com/,http://www.linkedin.com/company/orioninnovation,"4,900","Woodbridge Township, New Jersey"
Ness Digital Engineering,http://www.ness.com/,http://www.linkedin.com/company/ness-ses,"4,000","New York, New York"
Mavenir,http://www.mavenir.com/,http://www.linkedin.com/company/mavenir,"4,000","Richardson, Texas"
Bentley Systems,http://www.bentley.com/,http://www.linkedin.com/company/bentley-systems,"5,500","Exton, Pennsylvania"
Sonata Software Ltd.,http://www.sonata-software.com/,http://www.linkedin.com/company/sonata-software,"6,100",
Tata Tele Business Services,http://www.tatatelebusiness.com/,http://www.linkedin.com/company/ttbs,N/A,"Navi Mumbai, India"
DataArt,http://www.dataart.com/,http://www.linkedin.com/company/dataart,"6,000","New York, New York"
CDM Smith,http://www.cdmsmith.com/,http://www.linkedin.com/company/cdmsmith,"6,600","Boston, Massachusetts"
